sorting algorithm,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
insertion sort,124750,499500,1124250,1999000,3123750,4498500,6123250,7998000,10122750,12497500,15122250,17997000,21121750
selection sort,125250,500500,1125750,2001000,3126250,4501500,6126750,8002000,10127250,12502500,15127750,18003000,21128250
bubble sort,124251,498501,1122751,1997001,3121251,4495501,6119751,7994001,10118251,12492501,15116751,17991001,21115251
heap sort,6986,15934,25661,35811,46452,57156,68609,79725,91190,102821,114680,126414,138428
