sorting algorithm,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
insertion sort,61371,246516,554138,989233,1573610,2270641,3058531,4004924,5040730,6214635,7506846,8945690,10496480
selection sort,125250,500500,1125750,2001000,3126250,4501500,6126750,8002000,10127250,12502500,15127750,18003000,21128250
bubble sort,123471,496356,1121476,1995675,3118905,4483255,6118575,7988223,10115766,12492095,15112191,17983251,21114305
heap sort,7643,17255,27756,38551,49886,61399,73190,85106,97374,109786,122479,135022,147695
