sorting algorithm,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
insertion sort,499,999,1499,1999,2499,2999,3499,3999,4500,5000,5500,6000,6500
selection sort,125250,500500,1125750,2001000,3126250,4501500,6126750,8002000,10127250,12502500,15127750,18003000,21128250
bubble sort,498,998,1498,1998,2498,2998,3498,3998,8995,9995,10995,11995,12995
heap sort,9513,21926,35885,49794,65173,80428,95934,111063,127770,144543,161257,178100,195473
